,Unnamed: 0,Unnamed: 1,Car,Image-Link,team
94,2020,7,Aston Martin Red Bull RB16 Honda,https://upload.wikimedia.org/wikipedia/commons/a/a2/Alexander_Albon-Red_Bull_RB16_%284%29.jpg,Red Bull Racing
95,2020,8,Renault Sport R.S.20,https://upload.wikimedia.org/wikipedia/commons/c/ca/Daniel_Ricciardo_2020_Tuscan_Grand_Prix_2_%28cropped%29.jpg,Renault F1
96,2020,9,Williams FW43 Mercedes,https://upload.wikimedia.org/wikipedia/commons/5/5f/George_Russell_2020_Tuscan_Grand_Prix_-_race_day.jpg,Williams F1
97,2021,0,Alfa Romeo C41 Ferrari,https://upload.wikimedia.org/wikipedia/commons/f/fd/FIA_F1_Austria_2021_Nr._7_R%C3%A4ikk%C3%B6nen_%28side%29.jpg,Sauber F1 Team
98,2021,1,AlphaTauri AT02 Honda,https://upload.wikimedia.org/wikipedia/commons/7/7b/FIA_F1_Austria_2021_Nr._22_Tsunoda_%28side%29.jpg,Scuderia Toro Rosso
99,2021,2,Alpine A521 Renault,https://upload.wikimedia.org/wikipedia/commons/e/e8/Fernando_Alonso%2C_F1_British_Grand_Prix_2021.jpg,Alpine F1 Team
100,2021,3,Aston Martin AMR21 Mercedes,https://upload.wikimedia.org/wikipedia/commons/8/82/Sebastian_Vettel%2C_F1_British_Grand_Prix_2021.jpg,Aston Martin
101,2021,4,Ferrari SF21,https://upload.wikimedia.org/wikipedia/commons/1/13/FIA_F1_Austria_2021_Nr._16_Leclerc_%28side%29.jpg,Scuderia Ferrari SpA
102,2021,5,Haas VF-21 Ferrari,https://upload.wikimedia.org/wikipedia/commons/5/5b/FIA_F1_Austria_2022_Nr._20_Magnussen.jpg,Haas F1 Team
103,2021,6,McLaren MCL35M Mercedes,https://upload.wikimedia.org/wikipedia/commons/c/c1/Lando_Norris-McLaren_MCL35_%283%29.jpg,McLaren International Ltd
104,2021,7,Mercedes F1 W12 E Performance,https://upload.wikimedia.org/wikipedia/commons/2/27/FIA_F1_Austria_2021_Nr._44_Hamilton_%28side%29.jpg,Mercedes AMG F1
105,2021,8,Red Bull RB16B Honda,https://upload.wikimedia.org/wikipedia/commons/a/a2/Alexander_Albon-Red_Bull_RB16_%284%29.jpg,Red Bull Racing
106,2021,9,Williams FW43B Mercedes,https://upload.wikimedia.org/wikipedia/commons/5/5f/George_Russell_2020_Tuscan_Grand_Prix_-_race_day.jpg,Williams F1
107,2022,0,Alfa Romeo C42 Ferrari,https://upload.wikimedia.org/wikipedia/commons/f/ff/FIA_F1_Austria_2022_Nr._77_Bottas_%28side_2%29.jpg,Sauber F1 Team
108,2022,1,AlphaTauri AT03 RBPT,https://scuderia.alphatauri.com/wp-content/uploads/2022/02/SV_ARBR__FEB_2022_4781.jpg,Scuderia Toro Rosso
109,2022,2,Alpine A522 Renault,https://upload.wikimedia.org/wikipedia/commons/6/66/FIA_F1_Austria_2022_Nr._14_Alonso.jpg,Alpine F1 Team
110,2022,3,Aston Martin AMR22 Mercedes,https://upload.wikimedia.org/wikipedia/commons/9/9c/FIA_F1_Austria_2022_Nr._5_Vettel.jpg,Aston Martin
111,2022,4,Ferrari F1-75,https://upload.wikimedia.org/wikipedia/commons/7/74/FIA_F1_Austria_2022_Nr._16_Leclerc.jpg,Scuderia Ferrari SpA
112,2022,5,Haas VF-22 Ferrari,https://upload.wikimedia.org/wikipedia/commons/5/5b/FIA_F1_Austria_2022_Nr._20_Magnussen.jpg,Haas F1 Team
113,2022,6,McLaren MCL36 Mercedes,https://upload.wikimedia.org/wikipedia/commons/2/27/Lando_Norris_drives_the_McLaren_MCL36_during_the_2022_British_Grand_Prix..jpg,McLaren International Ltd
114,2022,7,Mercedes F1 W13 E Performance,https://upload.wikimedia.org/wikipedia/commons/b/bc/Lewis_Hamilton_2022.jpg,Mercedes AMG F1
115,2022,8,Red Bull RB18 RBPT,https://upload.wikimedia.org/wikipedia/commons/b/b4/2022_British_Grand_Prix_%2852381405112%29.jpg,Red Bull Racing
116,2022,9,Williams FW44 Mercedes,https://upload.wikimedia.org/wikipedia/commons/1/19/FIA_F1_Austria_2022_Nr._23_Albon.jpg,Williams F1
